county,dem_votes,rep_votes,total_votes,state,year,StateFIPS,CountyFIPS_3,county_fips,StateAbbr,CountyCBSA,,
Appling,2455,2514,6027,Georgia,1992,13,1,13001,GA,,,
Atkinson,1056,779,2185,Georgia,1992,13,3,13003,GA,20060,,
Bacon,1423,1301,3335,Georgia,1992,13,5,13005,GA,,,
Baker,864,391,1468,Georgia,1992,13,7,13007,GA,,,
Baldwin,5813,4262,11788,Georgia,1992,13,9,13009,GA,33300,,
Banks,1530,1551,3671,Georgia,1992,13,11,13011,GA,,,
Barrow,3991,4328,9982,Georgia,1992,13,13,13013,GA,12060,,
Bartow,6675,7742,16990,Georgia,1992,13,15,13015,GA,12060,,
Ben Hill,2348,1476,4464,Georgia,1992,13,17,13017,GA,22340,,
Berrien,2103,1637,4543,Georgia,1992,13,19,13019,GA,,,
Bibb,28070,19847,54049,Georgia,1992,13,21,13021,GA,31420,,
Bleckley,1710,1570,3956,Georgia,1992,13,23,13023,GA,,,
Brantley,1883,1541,4274,Georgia,1992,13,25,13025,GA,15260,,
Brooks,1895,1779,4315,Georgia,1992,13,27,13027,GA,46660,,
Bryan,2031,2789,5928,Georgia,1992,13,29,13029,GA,42340,,
Bulloch,4903,5690,12644,Georgia,1992,13,31,13031,GA,44340,,
Burke,3647,2390,6859,Georgia,1992,13,33,13033,GA,12260,,
Butts,2448,1768,4851,Georgia,1992,13,35,13035,GA,12060,,
Calhoun,1301,464,2018,Georgia,1992,13,37,13037,GA,,,
Camden,2952,3517,7572,Georgia,1992,13,39,13039,GA,28680,,
Candler,1192,1014,2755,Georgia,1992,13,43,13043,GA,,,
Carroll,8404,10750,22586,Georgia,1992,13,45,13045,GA,12060,,
Catoosa,4817,7599,14731,Georgia,1992,13,47,13047,GA,16860,,
Charlton,1127,1333,2892,Georgia,1992,13,49,13049,GA,,,
Chatham,31533,31925,72069,Georgia,1992,13,51,13051,GA,42340,,
Chattahoochee,604,413,1198,Georgia,1992,13,53,13053,GA,17980,,
Chattooga,2976,2439,6404,Georgia,1992,13,55,13055,GA,44900,,
Cherokee,8113,16054,29214,Georgia,1992,13,57,13057,GA,12060,,
Clarke,15403,10459,28998,Georgia,1992,13,59,13059,GA,12020,,
Clay,778,264,1197,Georgia,1992,13,61,13061,GA,,,
Clayton,25890,23965,57989,Georgia,1992,13,63,13063,GA,12060,,
Clinch,759,790,1837,Georgia,1992,13,65,13065,GA,,,
Cobb,63960,103734,197131,Georgia,1992,13,67,13067,GA,12060,,
Coffee,3275,3778,8339,Georgia,1992,13,69,13069,GA,20060,,
Colquitt,3891,4680,10276,Georgia,1992,13,71,13071,GA,34220,,
Columbia,7115,16657,28200,Georgia,1992,13,73,13073,GA,12260,,
Cook,1731,1318,3605,Georgia,1992,13,75,13075,GA,,,
Coweta,7093,9814,20553,Georgia,1992,13,77,13077,GA,12060,,
Crawford,1648,974,3183,Georgia,1992,13,79,13079,GA,31420,,
Crisp,2610,2253,5709,Georgia,1992,13,81,13081,GA,18380,,
